buyer,seller,location,size_acres,price_rm_m,date,note
KNBDC Malaysia Five Sdn Bhd,EcoWorld (Eco Business Park 6 Sdn Bhd),"QUANTUM Edge, Kulai",49.588,280.8,2026-04-24,Lifts EcoWorld FY2027 profit by RM104-147m (18-26%)
Princeton Digital Group,JLand Group,Sedenak Tech Park,31,2000,n.d.,"RM2bn total investment (~USD450m) for a 150MW campus, not a pure land price"
Unnamed global data centre player,UEM Sunrise,Iskandar Puteri,,144.9,n.d.,Two parcels
SIPP Power (YTL Power subsidiary),,Sedenak Tech Park West,145,,n.d.,Option on a further 400 acres; price not disclosed
Pearl Computing Malaysia (Google-affiliated),Sime Darby Property (Elmina Business Park),"Elmina Business Park, Selangor",49,,2024-05-23,"20-year lease, not a sale, valued at up to RM2bn over the lease term; completion 2026"
Pearl Computing Malaysia (Google-affiliated),Sime Darby Property (Elmina Business Park),"Elmina Business Park, Selangor",77,,2024-12-02,"20-year lease, not a sale, valued at up to RM5.6bn over the lease term; completion 2027"
WG Malaysia X Sdn Bhd (DayOne Data Hub II subsidiary),Mah Sing Group (Southville City),"Southville City, Selangor",78.8,617.9,2026-08-20,"Outright sale, ~RM180 psf; closing 2H2027"
Gamuda DC Infrastructure Sdn Bhd,West Synergy Sdn Bhd (MUI Properties subsidiary),"Springhill, Port Dickson, Negeri Sembilan",389,424.4,2024-12,"Initial acquisition, later resold"
Pearl Computing Malaysia,Gamuda DC Infrastructure Sdn Bhd,"Springhill, Port Dickson, Negeri Sembilan",389,455.23,2026-05,"Resale of the same parcel Gamuda bought in Dec 2024, a ~RM30.8m land-flip gain for Gamuda"
